lat,lon,Year,grey_or_prev,Technique,Latitude,Longitude,Disturbance,Objective,Coral_Species,Genera,Post_monitoring_length_(months),survival,rest_sp_n,rest_gen_n,remoteness,cumulative_impacts_mean,cumulative_impacts_trend,artisanal_fishing_mean,commercial_fishing_demersal_destructive_mean,commercial_fishing_demersal_nondestructive_high_bycatch_mean,commercial_fishing_demersal_nondestructive_low_bycatch_mean,commercial_fishing_pelagic_high_bycatch_mean,commercial_fishing_pelagic_low_bycatch_mean,direct_human_mean,light_mean,nutrient_pollution_mean,oa_mean,organic_chemical_pollution_mean,shipping_mean,slr_mean,sst_mean,artisanal_fishing_trend,commercial_fishing_demersal_destructive_trend,commercial_fishing_demersal_nondestructive_high_bycatch_trend,commercial_fishing_demersal_nondestructive_low_bycatch_trend,commercial_fishing_pelagic_high_bycatch_trend,commercial_fishing_pelagic_low_bycatch_trend,direct_human_trend,light_trend,nutrient_pollution_trend,oa_trend,organic_chemical_pollution_trend,shipping_trend,slr_trend,sst_trend,survival
124,428,2000,peer_rev,Substrate_Enhancement_Electric,27.7420043,34.2347743,Human_Disturbance,1,Acropora clathrata;Acropora cytherea;Acropora digitifera;Acropora granulosa;Acropora hemprichii;Acropora hyacinthus;Acropora squarrosa;Acropora valida;Echinopora gemmacea;Millepora dichotoma;Millepora exaesa;Pocillopora damicornis;Porites lutea;Stylophora pistillata,Acropora;Echinopora;Goniopora;Hydnophora;Millepora;Pocillopora;Porites;Stylophora,6,93.5,14,8,0.23827885,1.52157828721829,0.108367132365278,0.038501155,0.12621942,0.14946063,0.022316836,0.07429097,0.008837135,0.04009098,0.014948824,0.010586002,0.10274732,0.00064719655,0.19988604,0.024178768,0.7088671,0.000502214580774,0.001172534681179,-0.004969231581146,0.004654397925531,0.005679261244156,0.000121541566808,0.000130772285841,0.000441979599947,-0.001526841495863,0.00241118168289,-0.000188261801536,0.003968943790956,0.005658591099663,0.090310048786077,93.5
147,599,2008,peer_rev,Nursery_Phase,16.4419444,119.9227778,Overfishing,1,Acropora formosa;Echinopora lamellosa;Merulina scabricula;Montipora aequituberculata;Montipora digitata;Pocillopora damicornis;Porites rus,Acropora;Echinopora;Merulina;Montipora;Pocillopora;Porites,12,88.2,7,6,0.102151915,1.28110528101388,0.093814700482868,0,0.04250134,0.030557346,0.0019403222,0.09948771,0.015414723,0.080004685,0.0004241206,0.07027344,0.2708508,0.011437764,0.2908544,0.031372722,0.33598593,0,0.001336840167642,-0.001821618577973,0.000100829616316,0.002826466479085,0.000117685908282,0.000301274657249,1.78298762131652E-05,-0.001584657180038,0.005192508480766,-0.000380802950398,0.003042014620521,0.00577153107998,0.078894798305224,88.2
147,599,2010,peer_rev,Artificial_Reef,16.3425356,119.8927296,Overfishing,5,Echinopora lamellosa;Montipora digitata;Pocillopora damicornis;Porites cylindrica,Acropora;Echinopora;Montipora;Pocillopora;Porites,6,74,4,5,0.102151915,1.28110528101388,0.093814700482868,0,0.04250134,0.030557346,0.0019403222,0.09948771,0.015414723,0.080004685,0.0004241206,0.07027344,0.2708508,0.011437764,0.2908544,0.031372722,0.33598593,0,0.001336840167642,-0.001821618577973,0.000100829616316,0.002826466479085,0.000117685908282,0.000301274657249,1.78298762131652E-05,-0.001584657180038,0.005192508480766,-0.000380802950398,0.003042014620521,0.00577153107998,0.078894798305224,74
127,614,2007,peer_rev,Coral_Gardening,26.199204,127.2784676,None,1,Acropora tenuis,Acropora,6,89,1,1,0.17442818,0.954486370954493,-0.00788042250682,0.027690826,0.032685637,0.032137323,0.01891184,0.03440593,0.00458575,0.025673186,0.016772965,0.019099282,0.20856553,0.005287076,0.33494547,0.046857487,0.14686805,-0.001909215917641,-0.00669359555468,-0.009043674437668,-0.003765100439672,-0.00282713606615,-0.000603976629844,3.06404111060235E-05,0.000594816915691,-0.000409908558835,0.006057201596824,-6.92388677800243E-05,0.003509201786735,0.002380906519565,0.004868656735529,89
178,607,2010,peer_rev,Substrate_Enhancement_Electric,0.6246932,123.9750018,None,1,Acropora pulchra;Acropora yongei,Acropora,4,88.6666666666667,2,1,0.27732182,1.04520530422385,0.085945244536494,0.016783232,0.07866319,0.01167898,0.002201989,0.06443938,0.022076607,0.07491246,0.0013834648,0.18802577,0.22369012,0.019571966,0,0.06649387,0.27528426,0.000572604686022,-0.000380353866653,-0.00105320352807,0.000133498204576,0.001563182202252,0.00042239038951,0.000328947332772,0.000195894354163,0.001925872266293,0.005190962553024,8.46585512838585E-05,0,0.01336451404601,0.063596277345311,88.6666666666667
120,429,2001,peer_rev,Nursery_Phase,29.557669,34.951925,None,7,Stylophora pistillata,Stylophora,24,0,1,1,0.13291189,3.11783503690227,0.148352056123655,0.061237823,0.20175944,0.06443654,0.06182942,0.07706391,0.023773752,0.47834083,0.7220801,0.3576005,0.087308444,0.059110716,0.21203437,0.20834184,0.50291735,0.000480865619399,7.17736441980775E-05,0.009573695283722,0.004611567627977,0.005321908911521,0.000458835996687,0.004031340913339,0.018928132273934,0.018871327692812,0.001973900266669,0.007334066156975,0.006251900846308,0.027885343947194,0.042557396942919,0
120,429,2001,peer_rev,Coral_Gardening,29.557669,34.951925,Human_Disturbance,7,Stylophora pistillata,Stylophora,6,53.75,1,1,0.13291189,3.11783503690227,0.148352056123655,0.061237823,0.20175944,0.06443654,0.06182942,0.07706391,0.023773752,0.47834083,0.7220801,0.3576005,0.087308444,0.059110716,0.21203437,0.20834184,0.50291735,0.000480865619399,7.17736441980775E-05,0.009573695283722,0.004611567627977,0.005321908911521,0.000458835996687,0.004031340913339,0.018928132273934,0.018871327692812,0.001973900266669,0.007334066156975,0.006251900846308,0.027885343947194,0.042557396942919,53.75
120,429,2001,peer_rev,Coral_Gardening,29.557669,34.951925,None,7,Stylophora pistillata,Stylophora,6,54,1,1,0.13291189,3.11783503690227,0.148352056123655,0.061237823,0.20175944,0.06443654,0.06182942,0.07706391,0.023773752,0.47834083,0.7220801,0.3576005,0.087308444,0.059110716,0.21203437,0.20834184,0.50291735,0.000480865619399,7.17736441980775E-05,0.009573695283722,0.004611567627977,0.005321908911521,0.000458835996687,0.004031340913339,0.018928132273934,0.018871327692812,0.001973900266669,0.007334066156975,0.006251900846308,0.027885343947194,0.042557396942919,54
120,429,2001,peer_rev,Nursery_Phase,29.557669,34.951925,None,7,Stylophora pistillata,Stylophora,1,5,1,1,0.13291189,3.11783503690227,0.148352056123655,0.061237823,0.20175944,0.06443654,0.06182942,0.07706391,0.023773752,0.47834083,0.7220801,0.3576005,0.087308444,0.059110716,0.21203437,0.20834184,0.50291735,0.000480865619399,7.17736441980775E-05,0.009573695283722,0.004611567627977,0.005321908911521,0.000458835996687,0.004031340913339,0.018928132273934,0.018871327692812,0.001973900266669,0.007334066156975,0.006251900846308,0.027885343947194,0.042557396942919,5
164,557,2008,peer_rev,Coral_Gardening,7.740738,98.77841,Natural_Disturbance,1,Acropora grandis,Acropora,12,81.15,1,1,0.14762029,0.777956900434881,0.055032891987966,0.0024404174,0.054486345,0.013873116,8.486481E-05,0.0058178264,0.0040173945,0.039928693,0.017209984,0.099839516,0.04698253,0.011433768,0.10521247,0.25717565,0.11945432,-6.36765235950323E-05,-0.007023207182911,-0.000986266944727,-1.42218848023648E-05,-0.000339719153602,-8.58490207147869E-05,2.5790083137427E-05,0.001573905767873,-0.001592918688601,0.00106436972591,-0.000528723352843,0.00235927877101,0.031802537969568,0.028841592422263,81.15
196,590,2009,peer_rev,Nursery_Phase,-8.1485516,115.0983069,None,7,Acropora gomezi;Pavona cactus,Acropora;Pavona,4.4,NA,2,2,0.029916655,1.27007038003913,0.07824091367233,0.03291646,0.038780443,0.018896481,0.00047056275,0.06026989,0.01373252,0.13325296,0.007342424,0.23256041,0.1791179,0.04752227,0.3019181,0.022405474,0.18088448,0.001580899919976,0.000260215828365,0.001764098840596,2.97023295636543E-05,-0.00142072100531,0.000313445790247,0.000209035792134,0.000841807908463,-0.000916909900579,0.005374897068197,-0.000438898395408,0.009232185103677,0.004401708705435,0.057009445686973,NA
147,599,2010,peer_rev,Nursery_Phase,16.3425356,119.8927296,None,7,Merulina scabricula;Montipora digitata;Pocillopora damicornis,Echinopora;Montipora;Pocillopora,10,72.8384615384615,3,3,0.102151915,1.28110528101388,0.093814700482868,0,0.04250134,0.030557346,0.0019403222,0.09948771,0.015414723,0.080004685,0.0004241206,0.07027344,0.2708508,0.011437764,0.2908544,0.031372722,0.33598593,0,0.001336840167642,-0.001821618577973,0.000100829616316,0.002826466479085,0.000117685908282,0.000301274657249,1.78298762131652E-05,-0.001584657180038,0.005192508480766,-0.000380802950398,0.003042014620521,0.00577153107998,0.078894798305224,72.8384615384615
143,226,2012,peer_rev,Nursery_Phase,18.0247132,-66.6014072999999,Human_Disturbance,1,Acropora cervicornis,Acropora,12,95.5,1,1,0.039697316,2.86869453362591,0.076922712663,0.0016093007,0.063566044,0.0052630585,1.825396E-06,0.0014941004,0.0010883467,1.13696,0.51921225,0,0.17492451,0,0.25251082,0.23095866,0.4811055,-0.000197034724459,-0.004695170304992,-0.001368858414604,9.45930253237749E-08,-0.000116170628462,-1.9811384845525E-05,-4.49592416936484E-05,0.023659195141359,0,8.90863212672198E-05,0,-0.00338334495371,0.010468376631087,0.052531309629029,95.5
157,211,2012,peer_rev,Nursery_Phase,11.3064409,-74.0657561,None,7,Acropora cervicornis;Acropora palmata,Acropora,18,NA,2,1,0.07675384,1.61098443245547,0.084751979407255,0.00031914155,0.0017445855,0.0014415507,0,0.00024863737,0.00011368913,0.04293714,0.01409724,0.13683647,0.14034632,0.13288802,0.35301188,0.013399803,0.7736,-8.63090689315207E-05,-7.74864366659048E-05,-0.000192183977924,0,-8.39902700549415E-06,-9.53869626259389E-06,0.000179943645542,0.001390993468125,0.001477227156813,0.001647903702476,-0.009619632566517,0.008238983425227,0.000609122487632,0.081201355294748,NA
124,198,2012,peer_rev,Nursery_Phase,28,-81,None,7,Acropora cervicornis,Acropora,1,NA,1,1,0.055451516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
